trial_number,lrate,wdecay,optimizer,clip,llm_layer,U,batch_size,loss
0,7.563179974376396e-05,1.6730917003411354e-06,Adam,3.6279943285390663,1,1,32,40.47500991821289
1,0.00034463170788165393,3.6186462321162455e-06,Adam,0.8567266471162264,4,2,64,25.7351131439209
2,0.0008745935821134473,0.00031162264397846295,Ranger,3.3691194676788663,3,4,64,28.562294006347656
3,0.0012902948786030343,2.899633109140574e-05,Ranger,7.234768328476624,3,3,64,25.388164520263672
4,3.890360621398476e-05,8.720897400008399e-06,Ranger,8.861383073651085,3,2,128,24.965913772583008
5,0.0004336901108654802,2.244522429208457e-06,Ranger,3.7786258996676136,3,3,128,25.92130470275879
6,0.003648595174083361,0.008197443338283294,Adam,7.560145217226276,3,4,32,25.2992000579834
7,0.00043603432005516815,6.840926672411998e-05,AdamW,9.225961989773332,1,1,32,39.71916961669922
8,8.12624416177384e-05,5.918368909270428e-06,AdamW,5.447681932096542,2,2,128,30.118053436279297
9,0.0022641375743226075,0.0013354540356234166,Adam,5.47117758648133,1,4,32,36.288841247558594
10,1.040875478092454e-05,1.7149493245903e-05,Ranger,9.949145018915553,4,2,128,24.1988468170166
11,1.015450350885826e-05,2.022138923150614e-05,Ranger,9.321308612200752,4,2,128,25.913469314575195
12,1.0817921642411936e-05,1.2342168922574636e-05,Ranger,9.982808223197802,4,2,128,24.420366287231445
13,1.0509804092952311e-05,0.00018966135967416929,Ranger,9.941750946352158,4,1,128,26.20862579345703
14,3.0506481921927534e-05,2.9050053939665453e-05,Ranger,7.496813261419192,4,3,128,22.98758888244629
15,0.009853264493377268,6.289399003363142e-05,Ranger,7.0990932894855465,2,3,128,27.32778549194336
16,3.2978909581290056e-05,0.0003334094839454389,AdamW,8.074930564594819,4,3,128,24.929208755493164
17,3.3626736912932334e-05,1.0608081598356413e-06,Ranger,6.574365307005287,4,3,128,25.254322052001953
18,0.00011897824543354683,0.00114595427899026,Ranger,8.167826486515539,2,2,128,29.85967254638672
19,2.2082944578859635e-05,3.048434955410514e-05,AdamW,6.219768536608649,4,3,64,24.260854721069336
20,0.00016086926399093586,0.00012692526057385468,Ranger,1.1863699083741928,3,1,128,25.497282028198242
21,2.441885203135763e-05,3.3685576968152014e-05,AdamW,6.235363557496084,4,3,64,23.843753814697266
22,1.9532297502375716e-05,4.642724866985915e-05,AdamW,4.684747221495655,4,3,64,25.551000595092773
23,5.2037529796853134e-05,1.5035027520685987e-05,AdamW,6.277782568283563,4,4,64,25.83661460876465
24,2.1033319657000698e-05,8.2867340166021e-06,AdamW,8.411012917678411,4,3,64,26.221385955810547
25,1.5758165448721367e-05,0.00010978853085547788,AdamW,2.268900711619936,3,2,64,24.79035758972168
26,0.00020260757285363987,2.5222963478425616e-05,Ranger,4.402774975159522,4,3,128,26.433149337768555
27,7.476200857290032e-05,4.687747543030068e-06,Ranger,5.902270449885857,3,4,128,26.352542877197266
28,4.1496746227520054e-05,4.2419195853523546e-05,Adam,7.452656776318809,4,2,32,25.4415283203125
29,7.395609236701999e-05,2.263420881993803e-06,AdamW,6.789405857572691,2,1,64,26.81503677368164
30,2.718064628519684e-05,0.0002325893191960041,Adam,8.480360985403507,4,3,32,25.35610580444336
31,1.7821436703849827e-05,3.354238620662983e-05,AdamW,5.903480369967592,4,3,64,25.076740264892578
